,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
47,Oranjestad,40,AW,1566855377,74,12.52,-70.03,86.0,24.16
48,Komsomolskiy,100,RU,1566855468,91,67.55,63.78,40.33,3.62
49,Timrat,0,IL,1566855469,89,32.7,35.23,77.0,1.99
50,Cape Town,40,ZA,1566855337,87,-33.93,18.42,54.0,5.82
51,Tasgaon,100,IN,1566855471,92,17.04,74.6,68.95,7.0
52,Svetlaya,0,RU,1566855472,80,46.54,138.33,55.45,4.16
53,Halifax,90,CA,1566855410,77,44.65,-63.58,61.0,11.41
54,Mikhaylovka,81,RU,1566855475,91,52.96,103.29,48.61,4.63
55,Saint-Pierre,0,FR,1566855476,47,48.95,4.24,75.2,5.82
56,Porto-Vecchio,0,FR,1566855477,83,41.59,9.28,77.0,3.36
57,Ancud,40,CL,1566855478,70,-41.87,-73.83,46.4,6.93
58,Kaitangata,71,NZ,1566855479,67,-46.28,169.85,44.01,5.99
59,Puerto Rico,59,CO,1566855481,95,1.91,-75.15,63.19,4.92
60,Saskylakh,100,RU,1566855482,76,71.97,114.09,54.37,2.51
61,Balakhonovskoye,0,RU,1566855483,68,44.78,41.78,68.0,6.71
62,Alofi,100,NU,1566855484,84,-19.06,-169.92,73.81,21.36
63,Mar del Plata,97,AR,1566855486,30,-46.43,-67.52,47.71,32.32
64,Vaini,67,IN,1566855487,91,15.34,74.49,74.53,3.24
65,Yulara,0,AU,1566855488,52,-25.24,130.99,44.6,8.05
66,Upernavik,89,GL,1566855489,72,72.79,-56.15,39.79,7.4
67,Maniitsoq,98,GL,1566855491,76,65.42,-52.9,45.37,5.61
68,Victoria Point,75,AU,1566855492,100,-27.58,153.3,62.01,3.36
69,Muros,40,ES,1566855493,93,42.77,-9.06,69.01,5.82
70,Dikson,100,RU,1566855495,97,73.51,80.55,40.87,12.19
71,Tongliao,0,CN,1566855496,91,43.61,122.27,59.23,6.29
72,Santa Maria,40,BR,1566855497,34,-16.02,-48.01,78.8,10.29
73,Castro,40,CL,1566855470,70,-42.48,-73.76,46.4,6.93
74,Loreto,100,PY,1566855499,45,-23.27,-57.32,79.03,8.7
75,Avarua,100,CK,1566855500,78,-21.21,-159.78,73.4,9.17
76,Geraldton,75,CA,1566855502,53,49.72,-86.95,71.6,13.87
77,Hithadhoo,100,MV,1566855503,71,-0.6,73.08,82.45,5.61
78,Wageningen,21,NL,1566855504,69,51.98,5.66,78.01,6.93
79,Port Alfred,100,ZA,1566855505,72,-33.59,26.89,63.0,5.01
80,Sedona,1,US,1566855506,14,34.87,-111.79,97.0,8.05
81,Pisco,90,PE,1566855508,30,-13.71,-76.2,71.6,5.82
82,Hilo,75,US,1566855509,65,19.71,-155.08,82.99,3.36
83,Kyaikto,100,MM,1566855510,97,17.31,97.01,74.53,0.76
84,Kavaratti,100,IN,1566855512,78,10.57,72.64,81.55,20.15
85,Astoria,1,US,1566855396,49,46.19,-123.83,82.0,8.05
86,Poum,0,MK,1566855514,37,41.28,20.71,69.8,6.93
87,Hanmer Springs,41,NZ,1566855515,89,-42.52,172.83,33.31,4.23
88,Namatanai,71,PG,1566855516,82,-3.66,152.44,78.85,5.5
89,State College,40,US,1566855364,49,40.79,-77.86,75.99,9.17
90,Butaritari,31,KI,1566855519,70,3.07,172.79,84.97,8.99
91,Port Hardy,20,CA,1566855520,82,50.7,-127.42,59.0,4.7
92,Tiksi,99,RU,1566855521,96,71.64,128.87,43.57,8.79
93,Ribeira Grande,75,PT,1566855522,94,38.52,-28.7,73.4,10.29
94,Edd,100,ER,1566855523,44,13.93,41.69,90.91,1.66
95,Puerto Ayora,20,EC,1566855245,57,-0.74,-90.35,80.6,19.46
96,Bud,0,NO,1566855526,72,62.91,6.91,64.99,9.17
97,Baloda Bazar,100,IN,1566855527,93,21.65,82.17,74.89,8.12
98,Smiltene,100,LV,1566855528,89,57.42,25.9,59.0,1.01
99,Paducah,40,US,1566855529,70,37.08,-88.6,84.2,8.05
100,Iqaluit,90,CA,1566855530,87,63.75,-68.52,51.8,10.29
101,Hofn,100,IS,1566855532,99,64.25,-15.21,37.09,16.33
102,Longyearbyen,20,NO,1566855533,69,78.22,15.63,37.4,3.36
103,Port Elizabeth,40,US,1566855534,60,39.31,-74.98,75.0,16.11
104,Khatanga,100,RU,1566855535,86,71.98,102.47,53.83,6.13
105,Krasnoarmeyskiy,0,RU,1566855536,37,46.12,40.39,77.0,13.4
106,Tulun,0,RU,1566855538,90,54.56,100.58,47.53,1.7
107,Yellowknife,75,CA,1566855539,59,62.45,-114.38,60.8,10.29
108,Barra,0,BR,1566855540,31,-11.09,-43.14,80.65,5.12
109,Kununurra,100,AU,1566855339,93,-15.77,128.74,57.2,5.82
110,Fort Saint James,69,CA,1566855542,30,54.43,-124.25,68.05,2.28
111,Newport,22,GB,1566855544,88,51.59,-3.0,66.0,2.24
112,Sur,55,OM,1566855545,56,22.57,59.53,81.55,5.44
113,Pacific Grove,1,US,1566855546,68,36.62,-121.92,97.0,5.82
114,Rawson,0,AR,1566855547,21,-43.3,-65.11,55.09,25.17
115,Nikolskoye,40,RU,1566855548,93,59.7,30.79,63.0,6.71
116,Talnakh,75,RU,1566855550,93,69.49,88.39,48.2,8.95
117,Ugoofaaru,100,MV,1566855551,72,5.67,73.0,82.63,4.97
118,Vao,99,EE,1566855552,92,59.1,26.19,59.41,7.45
119,San Andres,100,PH,1566855553,91,13.32,122.68,75.25,5.35
120,Troyes,0,FR,1566855554,60,48.3,4.07,75.2,2.24
121,Karratha,94,AU,1566855556,62,-20.74,116.85,58.87,6.87
122,Atuona,4,PF,1566855557,73,-9.8,-139.03,78.67,16.75
123,Burgeo,100,CA,1566855558,64,47.61,-57.61,62.47,3.29
124,Chifeng,0,CN,1566855559,70,42.27,118.96,55.27,8.34
125,Challans,0,FR,1566855560,69,46.85,-1.88,75.2,8.05
126,Lebu,75,ET,1566855562,87,8.96,38.73,59.0,4.7
127,Xapuri,75,BR,1566855563,88,-10.65,-68.5,73.4,3.36
128,Buala,100,SB,1566855564,82,-8.15,159.59,79.57,7.56
129,Micheweni,0,TZ,1566855565,80,-4.97,39.83,77.23,10.87
130,Solwezi,94,ZM,1566855566,39,-12.18,26.4,70.21,3.94
131,Krapivinskiy,0,RU,1566855568,93,55.0,86.81,53.6,4.47
132,Haverfordwest,20,GB,1566855569,82,51.8,-4.97,66.0,8.05
133,Georgetown,40,GY,1566855320,70,6.8,-58.16,86.0,4.7
134,Ust-Maya,0,RU,1566855571,79,60.42,134.54,50.77,5.41
135,Turukhansk,97,RU,1566855572,96,65.8,87.96,46.81,7.0
136,Nouadhibou,75,MR,1566855573,88,20.93,-17.03,77.0,8.05
137,Meulaboh,95,ID,1566855575,82,4.14,96.13,80.29,8.08
138,Lusambo,63,CD,1566855576,65,-4.97,23.44,73.27,1.68
139,Cockburn Town,28,TC,1566855577,81,21.46,-71.14,82.63,11.03
140,Vardo,90,US,1566855578,50,39.62,-77.74,77.0,10.29
141,Hobyo,28,SO,1566855579,76,5.35,48.53,76.33,27.13
142,Fenoarivo,20,MG,1566855581,93,-18.93,47.44,53.6,8.05
143,Arman,100,RU,1566855582,82,59.7,150.17,49.69,2.42
144,East London,100,ZA,1566855455,71,-33.02,27.91,57.43,7.49
145,Cherskiy,96,RU,1566855584,80,68.75,161.3,51.49,4.83
146,Bereda,20,ES,1566855585,88,43.27,-7.54,66.99,8.05
147,Sorland,100,NO,1566855587,92,67.67,12.69,55.09,24.45
148,Saint George,20,GR,1566855588,60,39.45,22.34,75.2,2.93
149,Rakiv Lis,0,UA,1566855589,85,51.62,24.92,63.73,7.29
150,Falkenberg,1,DE,1566855590,100,49.86,12.22,66.99,2.91
151,College,1,US,1566855592,58,64.86,-147.8,61.0,6.55
152,Hamilton,75,CA,1566855438,56,43.26,-79.87,77.0,13.87
153,Vanimo,23,PG,1566855595,80,-2.67,141.3,79.93,6.76
154,Berlevag,75,NO,1566855596,93,70.86,29.09,50.0,8.05
155,Chichicastenango,61,GT,1566855597,77,14.94,-91.11,63.19,6.06
156,Aginskoye,100,RU,1566855599,99,51.11,114.54,50.41,2.75
157,Maceio,75,BR,1566855600,88,-9.67,-35.74,73.4,13.87
158,Sept-Iles,75,CA,1566855568,49,50.2,-66.38,71.01,3.36
159,Mahebourg,75,MU,1566855602,56,-20.41,57.7,71.6,11.41
160,Kutum,100,SD,1566855603,63,14.2,24.66,72.19,7.14
161,Soligalich,100,RU,1566855605,96,59.08,42.29,55.09,9.08
162,Aklavik,75,CA,1566855606,54,68.22,-135.01,57.2,9.17
163,Kaka,0,TM,1566855607,15,37.35,59.62,69.67,2.8
164,Namibe,33,AO,1566855609,86,-15.19,12.15,67.33,11.05
165,Faanui,44,PF,1566855610,76,-16.48,-151.75,78.31,12.26
166,Havre-Saint-Pierre,1,CA,1566855612,77,50.23,-63.6,64.4,14.99
167,Chuchkovo,100,RU,1566855613,80,54.27,41.45,55.45,6.82
168,Ponta do Sol,0,BR,1566855614,49,-20.63,-46.0,68.41,6.82
169,Torbay,75,CA,1566855392,52,47.66,-52.73,68.0,11.41
170,Grandview,90,US,1566855616,94,38.89,-94.53,77.0,7.61
171,Karaton,20,ID,1566855618,73,-6.34,106.1,78.01,3.36
172,Bonthe,100,SL,1566855619,91,7.53,-12.5,75.25,9.64
173,Norman Wells,75,CA,1566855620,51,65.28,-126.83,62.6,2.24
174,Chuy,88,UY,1566855621,95,-33.69,-53.46,57.43,4.99
175,Victoria,75,BN,1566855622,88,5.28,115.24,77.0,8.05
176,Srednekolymsk,100,RU,1566855624,70,67.46,153.71,55.09,5.37
177,Ipameri,12,BR,1566855625,30,-17.72,-48.16,79.03,5.82
178,Kyabram,0,AU,1566855626,92,-36.31,145.05,44.01,3.0
179,Tezu,17,IN,1566855627,84,27.93,96.16,75.07,3.22
180,Porto Seguro,75,BR,1566855629,88,-16.44,-39.06,69.8,6.93
181,Quatre Cocos,75,MU,1566855630,56,-20.21,57.76,71.6,11.41
182,Husavik,58,CA,1566855631,71,50.56,-96.99,71.01,5.99
183,Rocha,62,UY,1566855632,92,-34.48,-54.34,60.49,3.29
184,Punta Gorda,1,US,1566855633,79,26.93,-82.05,91.4,5.82
185,Kodiak,90,US,1566855635,88,39.95,-94.76,75.99,9.17
186,Antalaha,65,MG,1566855636,92,-14.9,50.28,63.37,2.33
187,Staryy Nadym,100,RU,1566855637,69,65.61,72.68,43.03,5.41
188,Dingle,100,PH,1566855639,96,11.0,122.67,73.27,3.2
189,Caravelas,9,BR,1566855640,79,-17.73,-39.27,71.83,11.21
190,Molodizhne,0,UA,1566855641,58,45.01,34.06,70.03,9.13
191,Maumere,42,ID,1566855642,75,-8.63,122.22,69.13,3.2
192,Derzhavinsk,13,KZ,1566855643,73,51.1,66.31,56.17,14.47
193,Nanortalik,40,GL,1566855645,69,60.14,-45.24,44.47,2.01
194,Klyuchi,0,RU,1566855646,50,52.25,79.17,67.51,12.55
195,Nome,40,US,1566855647,63,30.04,-94.42,97.0,10.29
196,Ngunguru,18,NZ,1566855648,75,-35.62,174.5,54.0,7.78
197,Goderich,100,CA,1566855649,60,43.74,-81.71,77.0,15.99
198,Nicoya,40,CR,1566855651,59,10.15,-85.45,89.6,8.05
199,Eyl,78,SO,1566855652,71,7.98,49.82,76.33,25.75
200,Hami,0,CN,1566855653,25,42.84,93.51,72.01,3.56
201,Luganville,75,VU,1566855654,88,-15.51,167.18,77.0,5.82
202,San Angelo,1,US,1566855561,23,31.46,-100.44,109.0,14.99
203,Moose Factory,1,CA,1566855657,44,51.26,-80.61,78.8,12.75
204,Wodonga,28,AU,1566855658,91,-36.12,146.89,41.0,3.38
205,Bathsheba,40,BB,1566855659,78,13.22,-59.52,80.6,25.28
206,Gimli,80,CA,1566855661,71,50.63,-96.99,71.01,5.99
207,Bumba,100,CD,1566855662,89,2.18,22.47,69.13,2.04
208,Batagay-Alyta,3,RU,1566855663,87,67.8,130.41,43.39,1.48
209,Sao Filipe,49,CV,1566855664,77,14.9,-24.5,80.47,6.33
210,Yingcheng,0,CN,1566855666,88,30.93,113.57,80.6,5.03
211,Airai,0,TL,1566855667,77,-8.93,125.41,63.91,4.74
212,Vila Velha,20,BR,1566855669,74,-3.71,-38.6,80.6,12.75
213,Kavieng,24,PG,1566855670,75,-2.57,150.8,81.73,3.13
214,Acapulco,40,MX,1566855671,74,16.86,-99.88,87.8,9.17
215,Sao Joao da Barra,40,BR,1566855673,73,-21.64,-41.05,69.8,5.82
216,Carupano,50,VE,1566855674,94,10.67,-63.26,79.03,2.57
217,Tuatapere,97,NZ,1566855635,84,-46.13,167.69,43.0,3.0
218,Cocobeach,40,GA,1566855676,83,1.01,9.58,78.8,8.05
219,Saldanha,78,PT,1566855677,62,41.42,-6.55,68.77,1.57
220,Cidreira,98,BR,1566855679,78,-30.17,-50.22,63.37,9.73
221,Bethel,90,US,1566855680,67,60.79,-161.76,57.2,6.93
222,Hasaki,75,JP,1566855635,88,35.73,140.83,73.4,4.7
223,Sao Paulo de Olivenca,48,BR,1566855683,46,-3.38,-68.87,90.91,3.24
224,Nemuro,67,JP,1566855684,87,43.32,145.57,60.13,6.69
225,Ahipara,99,NZ,1566855685,100,-35.17,173.16,51.01,12.66
226,Banjarmasin,100,ID,1566855687,80,-3.32,114.59,77.23,8.39
227,Berdigestyakh,92,RU,1566855688,79,62.1,126.7,49.15,3.94
228,Constitucion,75,MX,1566855689,19,23.99,-104.67,82.0,8.05
229,Sola,0,TZ,1566855691,43,-3.17,33.8,70.75,7.96
230,Thompson,90,CA,1566855692,93,55.74,-97.86,50.0,16.11
231,Chino Valley,1,US,1566855693,18,34.76,-112.45,97.0,2.73
232,Pangoa,63,PE,1566855694,42,-12.12,-73.0,88.21,2.68
233,Touros,40,BR,1566855695,74,-5.2,-35.46,78.8,8.05
234,Panguna,99,PG,1566855697,78,-6.32,155.48,79.57,4.68
235,Taloqan,0,AF,1566855698,23,36.74,69.54,73.81,7.83
236,Deputatskiy,71,RU,1566855699,86,69.3,139.9,45.01,3.78
237,Vila do Maio,75,CV,1566855701,88,15.13,-23.22,78.8,5.82
238,Faya,40,SA,1566855702,40,18.39,42.45,73.4,5.82
239,Esperance,33,AU,1566855703,86,-33.86,121.89,41.0,14.99
240,Cayenne,0,GF,1566855705,70,4.94,-52.33,86.0,11.41
241,Luleburgaz,0,TR,1566855706,88,41.4,27.36,73.4,14.99
242,Sabha,0,LY,1566855707,21,27.03,14.43,87.13,10.22
243,Provideniya,90,RU,1566855708,93,64.42,-173.23,51.8,6.71
244,Ledyard,75,US,1566855700,60,41.44,-72.02,75.2,4.7
245,Tual,21,ID,1566855711,80,-5.67,132.75,75.97,20.83
246,Kiunga,100,PG,1566855712,98,-6.12,141.3,70.39,1.79
247,Bagan,64,RU,1566855714,43,54.1,77.67,70.93,18.97
248,Inhambane,0,MZ,1566855715,85,-23.87,35.38,64.63,6.17
249,Tazovskiy,100,RU,1566855717,88,67.47,78.7,41.05,8.52
250,Sorong,50,ID,1566855718,91,-0.86,131.25,73.81,8.41
251,Great Bend,90,US,1566855719,74,38.36,-98.78,81.0,19.46
252,Qasigiannguit,20,GL,1566855720,42,68.82,-51.19,46.4,9.17
253,Uyemskiy,90,RU,1566855721,93,64.47,40.85,51.8,4.47
254,Chinhoyi,0,ZW,1566855723,52,-17.36,30.19,63.37,6.06
255,Nizhniy Kuranakh,0,RU,1566855724,95,58.84,125.49,47.17,1.88
256,Narsaq,64,GL,1566855725,40,60.91,-46.05,53.6,5.82
257,Santiago del Estero,16,AR,1566855726,38,-27.8,-64.26,81.91,5.61
258,Fare,84,PF,1566855727,69,-16.7,-151.02,78.67,9.46
259,Terrace,90,CA,1566855693,82,54.52,-128.61,57.2,5.82
260,Saint-Georges,100,CA,1566855516,56,46.12,-70.67,77.0,2.8
261,Timoteo,40,BR,1566855486,53,-19.58,-42.64,75.2,4.7
262,Awbari,9,LY,1566855732,23,26.59,12.77,85.51,9.37
263,Coquimbo,0,CL,1566855733,52,-29.95,-71.34,68.0,10.29
264,Baisha,100,CN,1566855734,81,19.23,109.45,78.13,6.33
265,Mareeba,23,AU,1566855736,87,-16.99,145.42,61.0,2.24
266,Bandarbeyla,28,SO,1566855737,77,9.49,50.81,76.15,21.47
267,Manokwari,91,ID,1566855738,76,-0.87,134.08,74.53,3.76
268,Gladstone,40,AU,1566855739,93,-23.84,151.26,62.01,6.93
269,Amahai,6,ID,1566855740,85,-3.31,129.0,74.89,10.49
270,Kilindoni,0,TZ,1566855742,77,-7.91,39.67,77.41,14.47
271,Mayo,75,CA,1566855743,42,63.59,-135.9,62.6,2.24
272,Eydhafushi,100,MV,1566855614,69,5.1,73.07,82.81,3.83
273,Guerrero Negro,0,MX,1566855749,90,27.97,-114.04,73.81,7.74
274,Port-Cartier,75,CA,1566855750,49,50.03,-66.88,71.01,3.36
275,Taunggyi,100,MM,1566855540,97,20.78,97.03,65.89,1.86
276,Gorontalo,25,ID,1566855753,87,0.54,123.06,71.47,4.59
277,Makinsk,67,KZ,1566855754,93,52.63,70.42,51.85,11.7
278,Naze,100,NG,1566855755,94,5.43,7.07,72.91,4.43
279,Sainte-Marie,75,CA,1566855756,33,46.45,-71.03,79.0,4.7
280,Sitka,0,US,1566855758,48,37.17,-99.65,91.99,17.0
281,Necochea,100,AR,1566855759,80,-38.55,-58.74,55.0,1.99
282,Severo-Yeniseyskiy,95,RU,1566855760,84,60.37,93.04,47.53,4.32
283,Borisovka,0,RU,1566855761,55,50.61,36.01,60.8,4.47
284,Wanning,0,AT,1566855762,68,48.64,13.53,71.6,3.36
285,Severo-Kurilsk,100,RU,1566855764,95,50.68,156.12,48.25,7.34
286,Kochubey,0,RU,1566855765,65,44.39,46.54,70.03,4.29
287,Mount Isa,13,AU,1566855766,35,-20.73,139.49,55.4,12.75
288,Camacha,20,PT,1566855767,68,33.08,-16.33,71.6,10.29
289,Cristalina,36,BR,1566855769,36,-16.77,-47.61,79.03,10.94
290,Luderitz,0,NA,1566855770,67,-26.65,15.16,57.2,13.87
291,Batagay,22,RU,1566855771,86,67.65,134.64,49.15,2.01
292,Alwar,18,IN,1566855772,77,27.56,76.61,80.29,1.81
293,Mandurah,59,AU,1566855652,81,-32.55,115.7,52.0,8.05
294,Kuytun,1,RU,1566855775,89,54.34,101.51,46.99,2.1
295,Yerbogachen,99,RU,1566855626,91,61.28,108.01,54.55,5.84
296,Juegang,100,CN,1566855777,99,32.31,121.18,84.0,2.3
297,Arlit,57,NE,1566855778,43,18.74,7.39,90.19,13.8
298,Tomatlan,57,MX,1566855779,75,19.93,-105.25,84.25,6.11
299,Tiarei,20,PF,1566855781,62,-17.53,-149.33,84.2,8.05
300,Aasiaat,67,GL,1566855782,65,68.71,-52.87,40.69,10.33
301,Mastic Beach,1,US,1566855783,49,40.77,-72.85,73.99,4.7
302,Since,40,FR,1566855785,88,47.63,-2.69,71.6,11.41
303,Scottsboro,90,US,1566855786,100,34.67,-86.03,73.99,10.83
304,Kopervik,0,NO,1566855787,64,59.28,5.31,68.0,9.17
305,Salalah,75,OM,1566855788,94,17.01,54.1,78.8,6.93
306,San Patricio,100,PY,1566855789,80,-26.98,-56.83,70.57,4.29
307,Tuy Hoa,41,VN,1566855791,84,13.08,109.3,75.43,6.42
308,Houston,1,US,1566855778,44,29.76,-95.37,99.0,11.56
309,Kwinana,59,AU,1566855793,81,-32.25,115.77,52.0,8.05
310,Muroto,75,JP,1566855794,83,33.37,134.14,73.4,1.12
311,Gumrak,0,RU,1566855795,55,48.78,44.38,60.8,11.18
312,Padang,100,ID,1566855797,89,-0.92,100.36,78.85,14.54
313,Mnogovershinnyy,97,RU,1566855798,89,53.94,139.92,55.27,4.36
314,Liaocheng,100,CN,1566855799,85,36.44,115.96,71.11,3.6
315,Chapais,1,CA,1566855800,38,49.78,-74.86,77.0,5.82
316,Suez,0,EG,1566855802,71,29.97,32.54,77.23,11.07
317,Ahome,20,MX,1566855803,59,25.92,-109.18,98.01,10.29
318,Xuanhua,0,CN,1566855804,62,40.61,115.04,58.51,4.54
319,Biak,97,ID,1566855805,97,-0.91,122.88,61.39,4.99
320,Khandyga,0,RU,1566855806,62,62.65,135.58,52.93,6.73
321,Souillac,0,FR,1566855808,61,45.6,-0.6,80.6,4.7
322,Smithers,75,CA,1566855809,58,54.78,-127.17,57.2,2.24
323,Verkhnyaya Inta,19,RU,1566855810,87,65.99,60.32,32.59,1.48
324,Kapit,71,MY,1566855811,96,2.02,112.94,72.19,2.15
325,Yeppoon,0,AU,1566855812,87,-23.13,150.74,55.4,1.12
326,Estelle,100,FR,1566855814,88,43.97,3.47,73.99,4.83
327,Reconquista,0,AR,1566855815,69,-29.14,-59.64,76.51,7.61
328,Paamiut,100,GL,1566855816,87,61.99,-49.67,41.95,21.07
329,Houma,100,CN,1566855817,85,35.63,111.36,70.21,0.96
330,Anadyr,0,RU,1566855819,71,64.73,177.51,57.0,4.47
331,Vorontsovka,0,RU,1566855820,69,50.61,40.34,57.25,2.75
332,Nara,75,JP,1566855821,88,34.68,135.8,77.0,2.24
333,Viedma,100,AR,1566855822,72,-40.81,-62.99,56.17,12.95
334,Alyangula,0,AU,1566855824,100,-13.85,136.42,59.0,1.12
335,Oktyabrskiy,0,RU,1566855825,67,55.61,37.97,68.0,4.47
336,Rairangpur,47,IN,1566855826,94,22.27,86.18,75.61,3.96
337,La Mana,3,EC,1566855827,51,-0.93,-79.22,62.6,18.34
338,Fereydunshahr,0,IR,1566855829,22,32.94,50.12,57.61,9.28
339,Valdivia,40,CL,1566855830,54,-39.81,-73.25,55.4,4.7
340,Manoel Urbano,100,BR,1566855831,38,-8.84,-69.26,93.07,1.25
341,Port Lincoln,51,AU,1566855832,68,-34.72,135.86,55.45,11.39
342,La Orilla,94,MX,1566855834,71,18.0,-102.23,84.97,7.18
343,Lyubinskiy,75,RU,1566855835,93,55.15,72.69,60.8,13.42
344,Kingsland,75,US,1566855644,70,30.8,-81.69,87.8,11.41
345,Serowe,0,BW,1566855837,30,-22.4,26.7,61.39,4.43
346,Banda Aceh,100,ID,1566855838,76,5.56,95.32,82.45,10.38
347,Zaysan,0,KZ,1566855840,33,47.47,84.87,60.67,6.53
348,Codrington,90,AU,1566855841,93,-28.95,153.24,60.01,2.24
349,Bukama,51,CD,1566855842,57,-9.2,25.85,74.53,2.62
350,Hay River,75,CA,1566855843,67,60.82,-115.79,62.6,6.93
351,Tigil,100,RU,1566855844,84,57.8,158.67,54.19,3.83
352,Fayaoue,67,NC,1566855846,76,-20.65,166.53,71.65,16.75
353,Marawi,100,PH,1566855847,94,8.0,124.29,75.0,4.38
354,Mitsamiouli,0,KM,1566855848,77,-11.38,43.28,75.79,9.04
355,Toamasina,75,MG,1566855849,88,-18.17,49.38,69.8,4.7
356,Barsovo,75,RU,1566855850,100,61.17,73.17,53.6,11.18
357,Sechura,44,PE,1566855852,89,-5.56,-80.82,61.75,15.28
358,Takoradi,10,GH,1566855853,89,4.89,-1.75,74.35,4.09
359,Rosarito,75,CO,1566855854,49,4.91,-75.23,89.6,0.81
360,Murray Bridge,11,AU,1566855855,93,-35.12,139.28,46.0,1.99
361,Homer,20,US,1566855856,71,59.64,-151.54,64.0,4.7
362,Tilichiki,100,RU,1566855858,94,60.47,166.1,48.61,8.21
363,Richards Bay,29,ZA,1566855859,84,-28.77,32.06,69.13,14.52
364,Ostrovnoy,93,RU,1566855860,91,68.05,39.51,41.95,7.67
365,Lityn,0,UA,1566855861,71,49.32,28.09,62.47,6.69
366,Lufkin,20,US,1566855612,50,31.34,-94.73,98.6,11.41
367,Henties Bay,0,NA,1566855864,88,-22.12,14.28,57.0,1.99
368,Saquarema,40,BR,1566855865,73,-22.93,-42.51,71.6,11.41
369,Monastyrshchina,76,RU,1566855866,82,54.35,31.84,59.05,6.55
370,Xining,100,CN,1566855867,94,36.62,101.77,48.25,0.87
371,Cap Malheureux,75,MU,1566855869,56,-19.98,57.61,71.6,11.41
372,Port Macquarie,90,AU,1566855729,100,-31.43,152.91,55.0,1.12
373,Port Blair,100,IN,1566855681,83,11.67,92.75,82.09,21.09
